strategy,net_capital,total_invested,total_sell_proceeds,total_reserve_injected,reserve_utilization_pct,cash_reserve,total_fees_paid,total_btc,btc_sold_total,btc_sell_pct,avg_cost_thb,avg_cost_usd,final_value,roi_pct,true_roi_pct,net_profit,true_net_profit,max_drawdown_pct,sell_count,buy_days,reserve_buy_days,avg_daily_dca,total_days
Standard DCA,200000.0,200000.0,0.0,0.0,0.0,0.0,300.00000000000017,0.13095800758145051,0.0,0.0,1527207.107786885,42422.419660746804,297210.81684707565,48.605408423537824,48.605408423537824,97210.81684707565,97210.81684707565,49.322925031490115,0,2000,0,100.0,2000
Style C,277900.0,277900.0,0.0,0.0,0.0,0.0,416.8499999999863,0.24206992781545084,0.0,0.0,1148015.379307525,31889.316091875695,549380.6931614735,97.69006590913044,97.69006590913044,271480.6931614735,271480.6931614735,48.92033940710701,0,1801,0,138.95,2000
Style Beta,261800.0,291800.0,29955.0,30000.0,100.15022533800702,29955.0,482.69999999999897,0.25827566443696925,0.010997118898291292,4.084006843201538,1084167.9403240408,30115.776120112245,616114.8127269142,111.14284192149218,135.33797277575025,324314.8127269142,354314.8127269142,47.60776634783661,6,1801,300,130.9,2000
Style Omega,261800.0,572200.0,41937.0,310400.0,740.1578558313661,41937.0,921.2999999999694,0.5706481017189101,0.014830043850418789,2.5329799178068044,976077.940215099,27113.276117086083,1337029.9200616037,133.66478854624322,410.7066157607348,764829.9200616037,1075229.9200616037,48.59036747403488,6,1801,452,130.9,2000
Style Phoenix,261800.0,564979.3959558718,671621.7783452517,303179.3959558705,45.141388461649775,671621.7783452517,1856.4151805816734,0.2852009516351956,0.2923887699430119,50.62222526122662,1145788.2280734952,31827.45077981931,1318888.8631650903,133.44017013818737,403.77725865740655,753909.4672092185,1057088.8631650903,29.71351921689384,78,1801,452,130.9,2000
Phoenix v2,261800.0,535540.3611891668,334085.2298311616,273740.3611891666,81.93728328771319,334085.2298311616,1305.1912075291111,0.42513674776035637,0.11994335989615747,22.00472154667964,1028973.1640116102,28582.587889211394,1298938.3335634926,142.54723410187077,396.1567355093555,763397.9723743259,1037138.3335634926,40.875723399540995,45,1801,452,130.9,2000
