strategy,net_capital,total_invested,total_sell_proceeds,total_reserve_injected,reserve_utilization_pct,cash_reserve,total_fees_paid,total_btc,btc_sold_total,btc_sell_pct,avg_cost_thb,avg_cost_usd,final_value,roi_pct,true_roi_pct,net_profit,true_net_profit,max_drawdown_pct,sell_count,buy_days,reserve_buy_days,avg_daily_dca,total_days
Standard DCA,109500.0,109500.0,0.0,0.0,0.0,0.0,164.25000000000335,0.04782764363842425,0.0,0.0,2289470.9350060644,63596.41486127957,108545.4283870792,-0.8717548976445673,-0.8717548976445673,-954.5716129208013,-954.5716129208013,44.64766695925644,0,1095,0,100.0,1095
Style C,123800.0,123800.0,0.0,0.0,0.0,0.0,185.7000000000017,0.06360136454274794,0.0,0.0,1946499.118219251,54069.41995053475,144344.08294263217,16.594574267069607,16.594574267069607,20544.082942632172,20544.082942632172,44.91683651157492,0,1030,0,113.05936073059361,1095
Style Beta,114920.0,118320.0,19970.0,3400.0,17.02553830746119,19970.0,207.48000000000113,0.05566217023018857,0.006429420732261294,10.354736660153405,1984022.2830284238,55111.730084122886,146295.983321837,23.644340197631003,27.302456771525414,27975.983321837004,31375.983321837004,38.1549072616807,4,1030,34,104.94977168949772,1095
Style Omega,114920.0,180920.0,27958.0,66000.0,236.0683882967308,27958.0,313.3800000000029,0.07954911207750787,0.009062941082284424,10.22766176734604,2134081.675029564,59280.04652859901,208495.69308692936,15.241926313801324,81.42681264090615,27575.693086929357,93575.69308692936,35.031365524371076,4,1030,110,104.94977168949772,1095
Style Phoenix,114920.0,180920.0,73903.07628977505,66000.0,89.3061606004235,73903.07628977505,382.4011461538946,0.061865859382607864,0.026746193777184454,30.183471461781373,2360089.5645720284,65558.04346033413,214308.40882062557,18.454791521460077,86.48486670781898,33388.40882062557,99388.40882062557,16.68689969436401,39,1030,110,104.94977168949772,1095
Phoenix v2,114920.0,180920.0,30855.463275697264,66000.0,213.90053168309967,30855.463275697264,317.73272399954743,0.07752975404092562,0.011082299118866693,12.506536891637312,2158236.6671550344,59951.01853208429,206810.1983393379,14.310301978409182,79.9601447435937,25890.19833933789,91890.19833933789,33.483133570141945,19,1030,110,104.94977168949772,1095
